#CNES;CNPJ;NO_FANTASIA;UF;MUNICIPIO;DS_TIPO_UNIDADE;ACREDITACAO;ACREDITADORA
2591049;304148000110;HOSPITAL MINISTRO COSTA CAVALCANTI;PR;Foz do Iguaçu;HOSPITAL GERAL;ONA Nível 3;ONA
2038919;50699404000193;SANCET MATRIZ;SP;Mogi das Cruzes;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3089797;4724451000122;CONSAUDE;PA;Belém;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3656969;83367342000252;HOSPITAL ADVENTISTA DE BELEM;PA;Belém;HOSPITAL GERAL;ONA Nível 3;ONA
6715133;25463423000500;VITA HEMOTERAPIA UNIDADE SANTA EFIGENIA;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
26719;17357641000109;CENTRO OFTALMOLOGICO DE MINAS GERAIS;MG;Belo Horizonte;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
2695634;20294088000109;BIOCOR INSTITUTO;MG;Belo Horizonte;HOSPITAL GERAL;ONA Nível 3;ONA
2200422;60194990000844;HOSPITAL MADRE TERESA;MG;Belo Horizonte;HOSPITAL GERAL;ONA Nível 3;ONA
27278;20479077000101;CENTRO DE TOMOGRAFIA COMPUTADORIZADA DE MINAS GERAIS LTDA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
5332036;42771949000216;AXIAL FILIAL BELVEDERE;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2337819;418954000119;HEMOLABOR;GO;Goiânia;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3546551;1145407000170;HOSPITAL DO CORACAO ANIS RASSI;GO;Goiânia;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
2223570;88645403001372;HOSPITAL DO CIRCULO;RS;Caxias do Sul;HOSPITAL GERAL;ONA Nível 3;ONA
3501191;3087604000105;UNILASER;SP;Santos;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
9194258;6047087002778;HOSPITAL SAO LUIZ SAO CAETANO;SP;São Caetano do Sul;HOSPITAL GERAL;ONA Nível 3;ONA
5665558;50252998000513;CURA CENTRO DE ULTRASSONOGRAFIA E RADIOLOGIA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5139430;2162577000397;CDB CENTRO DE DIAGNOSTICOS BRASIL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7431996;44649812033907;NOTRELABS IPIRANGA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7841272;2162577000630;CDB CENTRO DE DIAGNOSTICOS BRASIL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2708566;45399961000230;HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;SP;Sorocaba;HOSPITAL GERAL;PADI;CBR
3073637;60840055000999;FLEURY MEDICINA E SAUDE UNIDADE SHOPPING ANALIA FRANCO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9124152;60840055029709;FLEURY MEDICINA E SAUDE UNIDADE AVENIDA BRASIL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5645263;60840055002690;FLEURY MEDICINA E SAUDE UNIDADE OSCAR AMERICANO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5645069;60840055002770;FLEURY MEDICINA E SAUDE UNIDADE CHACARA KLABIN;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6937241;4984136000215;CENTRO DE RADIOLOGIA AVANCADA IHEF;BA;Feira de Santana;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
6859321;65160269000342;DOPSOM SERVICO MEDICO DE PROPEDEUTICA POR IMAGEM LTDA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2191016;19378769000419;LABORATORIO HERMES PARDINI UNIDADE ELDORADO 1;MG;Contagem;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7715463;17257555000116;ANGA MEDICINA DIAGNOSTICA;RO;Cacoal;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
7994109;87891503000344;RAIO SOM;RS;Gravataí;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7994079;87891503000425;RAIO SOM;RS;Gravataí;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3184587;87165411000115;MEDISCAN MEDICINA DIAGNOSTICA;RS;Porto Alegre;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
3778452;44649812034385;NOTRE DAME GUARULHOS;SP;Guarulhos;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9703918;87891503000506;RAIO SOM DIAGNOSTICOS POR IMAGEM;RS;Cachoeirinha;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9254072;2162577001873;CDB CENTRO DE DIAGNOSTICOS BRASIL;SP;São Bernardo do Campo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3424332;60840055001960;FLEURY MEDICINA E SAUDE UNIDADE ROCHAVERA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9172084;60840055034621;FLEURY MEDICINA E SAUDE UNID NAZARE;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3204723;44649812033818;NOTRE DAME INTERMEDICA SAUDE S A;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9209204;60840055029628;FLEURY MEDICINA E SAUDE UNIDADE MORUMBI;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
409308;60840055030391;FLEURY MEDICINA E SAUDE;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3073580;60840055002347;FLEURY MEDICINA E SAUDE UNIDADE ITAIM;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7722265;60840055032505;FLEURY MEDICINA E SAUDE UNIDADE REPUBLICA DO LIBANO II;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2695014;19378769000176;INSTITUTO HERMES PARDINI AIMORES 66;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2189585;1593379000153;SOL SOLUCOES EM DIAGNOSTICOS;MG;Contagem;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
1120;10892164000124;REAL HOSPITAL PORTUGUES;PE;Recife;HOSPITAL GERAL;PADI;CBR
9781307;73380073000634;CEPEM CENTRO DE PESQUISA DA MULHER TAQUARA;RJ;Rio de Janeiro;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7994028;87891503000263;RAIO SOM;RS;Gravataí;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3027694;718528000109;SABIN MEDICINA DIAGNOSTICA MATRIZ SAA;DF;Brasília;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3098230;2572550000100;RA RADIOLOGIA MATRIZ;DF;Brasília;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
242047;2572550000291;RA RADIOLOGIA ED PRIME CNC;DF;Brasília;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9411887;718528012379;SABIN MEDICINA DIAGNOSTICO VEGA IMAGEM;DF;Brasília;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9044019;10465461000355;IPAC DIAGNOSTICO POR IMAGEM;MG;Uberlândia;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
3165027;44649812033060;NOTRE DAME SANTO ANDRE;SP;Santo André;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3208087;44649812033141;NOTRE DAME ATLANTICA;SP;São Bernardo do Campo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6729150;61590410000396;HOSPITAL SIRIO LIBANES UNIDADE ITAIM;SP;São Paulo;HOSPITAL/DIA - ISOLADO;PADI;CBR
9096531;60840055034893;FLEURY MEDICINA E SAUDE UNIDADE MOEMA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3451682;50252998000190;CURA CENTRO DE ULTRASSONOGRAFIA E RADIOLOGIA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5975239;60840055001618;FLEURY MEDICINA E SAUDE UNIDADE SUMARE;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
483257;44649812034202;NOTRE DAME SANTO AMARO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9002863;60840055032920;FLEURY MEDICINA E SAUDE;SP;Jundiaí;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3282155;1999092000128;CLINICA DRA JUNIA MAMOGRAFIA E ULTRASONOGRAFIA LTDA;MG;Belo Horizonte;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
3297012;2292015000104;SCANNER;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3164993;87891503000182;RAIO SOM DIAGNOSTICO POR IMAGEM;RS;Gravataí;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2534541;25134453000131;JAMOUS CENTRO DIAGNOSTICO;GO;Anápolis;POLICLINICA;PADI;CBR
2152118;1032209000108;CHECK UP LABORATORIO DE ANALISES CLINICAS;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
29467;1900251000357;MEGA IMAGEM LTDA;SP;Santos;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
3245640;1900251000195;MEGA IMAGEM;SP;Santos;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2079127;61590410000124;HOSPITAL SIRIO LIBANES;SP;São Paulo;HOSPITAL GERAL;PADI;CBR
9186816;60840055029890;FLEURY MEDICINA E SAUDE UNIDADE ANALIA FRANCO II;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9182772;2162577001954;CDB CENTRO DE DIAGNOSTICOS BRASIL MOOCA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9332618;60840055035946;FLEURY MEDICINA E SAUDE UNID CARLOS WEBER;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3411036;60840055002002;FLEURY MEDICINA E SAUDE UNIDADE SHOPPING JARDIM SUL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7412266;60840055031606;FLEURY MEDICINA E SAUDE BETINHO CARRERO PONTE ESTAIADA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5368081;19378769002977;INSTITUTO HERMES PARDINI LIFE CENTER 3 ANDAR;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7450966;19378769006450;LABORATORIO HERMES PARDINI UNIDADE BERNARDO MONTEIRO 01;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3284735;30167753000157;SUSGA;RJ;São Gonçalo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7728786;21243399000292;PRO IMAGEM;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6997899;60840055020671;FLEURY MEDICINA E SAUDE UNIDADE GRANJA VIANA;SP;Cotia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
931950;22395557000101;LL DIAGNOSTICOS MEDICOS LTDA;SP;Hortolândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9685472;60840055001375;FLEURY MEDICINA E SAUDE;SP;Santo André;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9212310;60840055034460;FLEURY MEDICINA E SAUDE UNIDADE SAO CAETANO DO SUL;SP;São Caetano do Sul;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6866913;61590410000477;HOSPITAL SIRIO LIBANES UNIDADE BRASIL;SP;São Paulo;POLICLINICA;PADI;CBR
9209190;60840055035350;FLEURY MEDICINA E SAUDE UNID HEITOR PENTEADO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3094146;2162577000125;CDB CENTRO DE DIAGNOSTICOS BRASIL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9199942;60840055036080;FLEURY MEDICINA E SAUDE UNID JAU;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3154912;4984136000134;IHEF CLINICA DE IMAGEM;BA;Feira de Santana;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
7962088;19378769009041;HERMES PARDINI BETIM IMAGEM;MG;Betim;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6397018;10892164000205;UNIDADE AVANCADA DO HOSPITAL PORTUGUES DE BOA VIAGEM;PE;Recife;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
5847079;73380073000472;CEPEM CENTRO DE PESQUISA DA MULHER BARRA;RJ;Rio de Janeiro;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3370410;30167753000580;SUSGA FILIAL 1 ALCANTARA;RJ;São Gonçalo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9137246;60840055019070;FLEURY MEDICINA E SAUDE;SP;Barueri;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9904492;87891503000697;CENTRO CLINICO RAIO SOM;RS;Gravataí;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2338769;1237718000169;CLINICA SAO CAMILO;GO;Goiânia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6274773;10465461000193;SABIN;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7976550;18847662000167;UMC IMAGEM;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6571700;60840055001880;FLEURY MEDICINA E SAUDE;SP;Campinas;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2076632;49235740000104;CEDIRP RIBEIRAO PRETO;SP;Ribeirão Preto;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9108483;30097497000330;IRSA INSTITUTO DE RADIOLOGIA;RJ;Niterói;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9403418;60840055034974;FLEURY MEDICINA E SAUDE UNIDADE SANTO ANDRE II;SP;Santo André;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3249948;44649812032099;NOTRE DAME BANDA;SP;São Bernardo do Campo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
207926;44649812034113;NOTRE DAME TATUAPE;SP;São Paulo;POLICLINICA;PADI;CBR
9173641;60840055034702;FLEURY MEDICINA E SAUDE UNIDADE CERRO CORA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3066746;60840055000131;FLEURY MEDICINA E SAUDE JABA I;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3066754;60840055000484;FLEURY MEDICINA E SAUDE UNIDADE PARAISO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7841299;2162577000800;CDB PREMIUM;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2740311;2308397000109;UNITOM;PR;Cascavel;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5368243;19378769003604;LABORATORIO HERMES PARDINI UNIDADE ALIPIO DE MELO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7695004;37275625000419;HOSPITAL UNIMED RIO VERDE;GO;Rio Verde;HOSPITAL GERAL;PADI;CBR
5145066;5372211000179;CENTRO DE DIAGNOSTICO POR IMAGEM DO TRIANGULO MINEIRO LTDA;MG;Uberaba;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
2165252;18476119000109;CLINICA RADIOLOGICA UBERABA C R U;MG;Uberaba;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9514775;1900251000519;MEGA IMAGEM;SP;Guarujá;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3464377;30097497000179;IRSA INSTITUTO DE RADIOLOGIA S A;RJ;Niterói;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
463906;27766880000249;CENTRO DE IMAGEM ICARAI;RJ;Niterói;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
409294;6758888000374;FLEURY FERTILIDADE;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
9173528;2162577001440;CDB CENTRO DE DIAGNOSTICOS BRASIL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7841280;2162577000982;CDB PENHA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3073629;60840055000212;FLEURY MEDICINA E SAUDE UNIDADE VILLA LOBOS;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7352123;2162577000710;CDB CENTRO DE DIAGNOSTICOS BRASIL;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6255590;60840055002428;FLEURY MEDICINA E SAUDE UNIDADE HIGIENOPOLIS;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7554044;45399961000582;UNIDADE AVANCADA ZONA NORTE DR BASILIO CASSAR SOROCABA;SP;Sorocaba;PRONTO ATENDIMENTO;PADI;CBR
7379374;44649812033222;NOTRE DAME INTERMEDICA SAUDE S A;SP;Mauá;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5368049;19378769001067;INSTITUTO HERMES PARDINI UNIDADE PAMPULHA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9447814;19378769010210;INSTITUTO HERMES PARDINI FILIAL SANTO AGOSTINHO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5368308;19378769003000;HERMES PARDINI UNIDADE VENDA NOVA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7353952;16891885000104;CEMEDI HERMES PARDINI;MG;Sete Lagoas;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3132307;73380073000120;CENTRO DE PESQUISA DA MULHER BOTAFOGO MATRIZ;RJ;Rio de Janeiro;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7801866;38020020000288;PERFECTA DIAGNOSTICO POR IMAGEM;DF;Brasília;POLICLINICA;PADI;CBR
3137112;2091360000171;MEDPHOTON;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3145115;21243399000101;PRO IMAGEM;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3296652;27766880000168;CENTRO DE IMAGEM ICARAI;RJ;Niterói;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6568319;60840055003076;FLEURY MEDICINA E SAUDE UNIDADE SAO BERNARDO;SP;São Bernardo do Campo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9060774;2162577001369;CDB CENTRO DE DIAGNOSTICOS BRASIL ANA ROSA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3094162;2162577000206;CDB TKS MARSELHESA 500;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
6485324;60840055003408;FLEURY MEDICINA E SAUDE UNIDADE CAMPO BELO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3073610;60840055001022;FLEURY MEDICINA E SAUDE UNIDADE REPUBLICA I;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3073351;60840055001707;FLEURY MEDICINA E SAUDE UNIDADE BRASIL II;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5368111;19378769002543;LABORATORIO HERMES PARDINI UNIDADE BURITIS;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7484542;19378769006883;INSTITUTO HERMES PARDINI UNIDADE JOSE BRANDAO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3239594;65160269000180;DOPSOM SERVICO MEDICO DE PROPEDEUTICA POR IMAGEM LTDA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3132382;73380073000391;CENTRO DE ESTUDOS E PESQUSA DA MULHER CENTRO;RJ;Rio de Janeiro;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
5995035;1237718000240;CLINICA SAO CAMILO;GO;Goiânia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
920495;22395557000616;BILD DIAGNOSTICOS;SP;Campinas;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
3476111;27562420000118;UNISCAN DIAGNOSTICOS POR IMAGEM;ES;Linhares;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9041494;22395557000292;LL SERVICOS MEDICOS LTDA;SP;Hortolândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9735356;6758888000293;FLEURY DAY CLINIC;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;PADI;CBR
3173070;60840055003238;FLEURY MEDICINA E SAUDE UNIDADE REPUBLICA DO LIBANO III;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7841302;2162577001016;CDB TATUAPE;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
2934825;60840055019584;FLEURY MEDICINA E SAUDE ADM CAMPO BELO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
7426003;60840055031525;FLEURY MEDICINA E SAUDE UNIDADE BRAZ LEME;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PADI;CBR
9591559;4572038002648;AMARAL COSTA MEDICINA DIAGNOSTICA UNIDADE METROPOLE;PA;Ananindeua;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
3115984;83365700000107;LABORATORIO CEMAZA;PA;Belém;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
6611672;4572038000351;LABORATORIO AMARAL COSTA UNIDADE ALMIRANTE BARROSO;PA;Belém;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
2198215;20060273000139;INSTITUTO DE PATOLOGIA CLINICA CARLOS CHAGAS;MG;Araxá;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
9170049;19378769008070;INSTITUTO HERMES PARDINI S A FILIAL LAGOINHA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
9170014;19378769010805;INSTITUTO HERMES PARDINI S A FILIAL CEU AZUL;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
5368022;19378769000338;INSTITUTO HERMES PARDINI UNIDADE PADRE EUSTAQUIO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
6636632;21516281001009;LABORATORIO GERALDO LUSTOSA UNIDADE CAICARA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
9447814;19378769010210;INSTITUTO HERMES PARDINI FILIAL SANTO AGOSTINHO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
5368081;19378769002977;INSTITUTO HERMES PARDINI LIFE CENTER 3 ANDAR;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
5368111;19378769002543;LABORATORIO HERMES PARDINI UNIDADE BURITIS;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);PALC;SBPC/ML
